,site,scientificnameaccepted,quarter,yearcollected,Count (Dmnless)
492,site_54.18_11.75,Halicryptus spinulosus,3,2000,1
493,site_54.18_11.75,Halicryptus spinulosus,3,2004,3
494,site_54.18_11.75,Halicryptus spinulosus,4,1995,3
495,site_54.18_11.75,Halicryptus spinulosus,4,1997,6
496,site_54.18_11.75,Halicryptus spinulosus,4,1998,3
497,site_54.18_11.75,Halicryptus spinulosus,4,2000,3
498,site_54.18_11.75,Halicryptus spinulosus,4,2001,3
499,site_54.18_11.75,Halicryptus spinulosus,4,2004,3
500,site_54.18_11.75,Halisarca dujardinii,1,1999,1
501,site_54.18_11.75,Halisarca dujardinii,4,2004,1
502,site_54.18_11.75,Halitholus yoldiaarcticae,1,1999,1
503,site_54.18_11.75,Halitholus yoldiaarcticae,1,2002,1
504,site_54.18_11.75,Halitholus yoldiaarcticae,1,2003,1
505,site_54.18_11.75,Halitholus yoldiaarcticae,1,2004,1
506,site_54.18_11.75,Halitholus yoldiaarcticae,2,2001,1
507,site_54.18_11.75,Harmothoe imbricata,1,1999,3
508,site_54.18_11.75,Harmothoe imbricata,1,2002,1
509,site_54.18_11.75,Harmothoe imbricata,1,2005,1
510,site_54.18_11.75,Harmothoe imbricata,2,2001,7
511,site_54.18_11.75,Harmothoe imbricata,3,1994,13
512,site_54.18_11.75,Harmothoe imbricata,3,2000,1
513,site_54.18_11.75,Harmothoe imbricata,4,1998,12
514,site_54.18_11.75,Harmothoe imbricata,4,2001,3
515,site_54.18_11.75,Harmothoe imbricata,4,2003,1
516,site_54.18_11.75,Harmothoe impar,1,2000,1
517,site_54.18_11.75,Harmothoe impar,1,2002,7
518,site_54.18_11.75,Harmothoe impar,1,2005,1
519,site_54.18_11.75,Harmothoe impar,3,1999,6
520,site_54.18_11.75,Harmothoe impar,4,2001,3
521,site_54.18_11.75,Harmothoe impar,4,2003,1
522,site_54.18_11.75,Hartlaubella gelatinosa,1,2001,1
523,site_54.18_11.75,Hartlaubella gelatinosa,1,2002,1
524,site_54.18_11.75,Hartlaubella gelatinosa,1,2003,1
525,site_54.18_11.75,Hartlaubella gelatinosa,1,2004,1
526,site_54.18_11.75,Hartlaubella gelatinosa,2,2001,1
527,site_54.18_11.75,Hartlaubella gelatinosa,3,2000,1
528,site_54.18_11.75,Hartlaubella gelatinosa,4,2000,1
529,site_54.18_11.75,Hartlaubella gelatinosa,4,2001,1
530,site_54.18_11.75,Hartlaubella gelatinosa,4,2003,1
531,site_54.18_11.75,Hartlaubella gelatinosa,4,2004,1
532,site_54.18_11.75,Hediste diversicolor,3,1994,39
533,site_54.18_11.75,Heteromastus filiformis,1,1997,31
534,site_54.18_11.75,Heteromastus filiformis,1,1998,31
535,site_54.18_11.75,Heteromastus filiformis,1,1999,19
536,site_54.18_11.75,Heteromastus filiformis,1,2000,10
537,site_54.18_11.75,Heteromastus filiformis,1,2001,10
538,site_54.18_11.75,Heteromastus filiformis,1,2002,24
539,site_54.18_11.75,Heteromastus filiformis,1,2003,7
540,site_54.18_11.75,Heteromastus filiformis,1,2004,3
541,site_54.18_11.75,Heteromastus filiformis,1,2005,3
542,site_54.18_11.75,Heteromastus filiformis,2,1996,50
543,site_54.18_11.75,Heteromastus filiformis,2,2000,38
544,site_54.18_11.75,Heteromastus filiformis,2,2001,24
545,site_54.18_11.75,Heteromastus filiformis,3,1996,53
546,site_54.18_11.75,Heteromastus filiformis,3,1997,40
547,site_54.18_11.75,Heteromastus filiformis,3,1998,44
548,site_54.18_11.75,Heteromastus filiformis,3,1999,37
549,site_54.18_11.75,Heteromastus filiformis,3,2000,54
550,site_54.18_11.75,Heteromastus filiformis,3,2004,24
551,site_54.18_11.75,Heteromastus filiformis,4,1995,3
552,site_54.18_11.75,Heteromastus filiformis,4,1997,53
553,site_54.18_11.75,Heteromastus filiformis,4,1998,3
554,site_54.18_11.75,Heteromastus filiformis,4,1999,9
555,site_54.18_11.75,Heteromastus filiformis,4,2000,34
556,site_54.18_11.75,Heteromastus filiformis,4,2001,20
557,site_54.18_11.75,Heteromastus filiformis,4,2003,10
558,site_54.18_11.75,Hydrobia ulvae,1,1997,66
559,site_54.18_11.75,Hydrobia ulvae,1,1998,9
560,site_54.18_11.75,Hydrobia ulvae,1,1999,6
561,site_54.18_11.75,Hydrobia ulvae,1,2002,1
562,site_54.18_11.75,Hydrobia ulvae,1,2003,7
563,site_54.18_11.75,Hydrobia ulvae,1,2004,10
564,site_54.18_11.75,Hydrobia ulvae,1,2005,3
565,site_54.18_11.75,Hydrobia ulvae,2,1996,413
566,site_54.18_11.75,Hydrobia ulvae,3,1996,84
567,site_54.18_11.75,Hydrobia ulvae,3,1997,3
568,site_54.18_11.75,Hydrobia ulvae,3,1998,6
569,site_54.18_11.75,Hydrobia ulvae,3,2000,1
570,site_54.18_11.75,Hydrobia ulvae,4,1995,81
571,site_54.18_11.75,Hydrobia ulvae,4,1997,9
572,site_54.18_11.75,Hydrobia ulvae,4,1999,65
573,site_54.18_11.75,Hydrobia ulvae,4,2003,27
574,site_54.18_11.75,Idotea balthica,1,1999,1
575,site_54.18_11.75,Idotea balthica,1,2005,1
576,site_54.18_11.75,Idotea balthica,4,2003,1
577,site_54.18_11.75,Idotea balthica,4,2004,1
578,site_54.18_11.75,Idotea chelipes,1,2005,1
579,site_54.18_11.75,Jaera albifrons,1,1998,6
580,site_54.18_11.75,Lagis koreni,1,1997,787
581,site_54.18_11.75,Lagis koreni,1,1998,62
582,site_54.18_11.75,Lagis koreni,1,1999,43
583,site_54.18_11.75,Lagis koreni,1,2000,136
584,site_54.18_11.75,Lagis koreni,1,2002,24
585,site_54.18_11.75,Lagis koreni,1,2003,1
586,site_54.18_11.75,Lagis koreni,1,2004,748
587,site_54.18_11.75,Lagis koreni,1,2005,548
588,site_54.18_11.75,Lagis koreni,2,2000,53
589,site_54.18_11.75,Lagis koreni,2,2001,3
590,site_54.18_11.75,Lagis koreni,3,1994,39
591,site_54.18_11.75,Lagis koreni,3,1996,675
592,site_54.18_11.75,Lagis koreni,3,1997,292
593,site_54.18_11.75,Lagis koreni,3,1998,9
594,site_54.18_11.75,Lagis koreni,3,1999,3
595,site_54.18_11.75,Lagis koreni,3,2000,177
596,site_54.18_11.75,Lagis koreni,3,2004,585
597,site_54.18_11.75,Lagis koreni,4,1997,87
598,site_54.18_11.75,Lagis koreni,4,1998,16
599,site_54.18_11.75,Lagis koreni,4,1999,87
600,site_54.18_11.75,Lagis koreni,4,2000,218
601,site_54.18_11.75,Lagis koreni,4,2001,82
602,site_54.18_11.75,Lagis koreni,4,2003,1187
603,site_54.18_11.75,Lagis koreni,4,2004,667
604,site_54.18_11.75,Laomedea flexuosa,1,1999,1
605,site_54.18_11.75,Lineus ruber,1,1999,37
606,site_54.18_11.75,Lineus ruber,1,2000,1
607,site_54.18_11.75,Lineus ruber,1,2001,17
608,site_54.18_11.75,Lineus ruber,1,2002,10
609,site_54.18_11.75,Lineus ruber,1,2005,1
610,site_54.18_11.75,Lineus ruber,2,2001,7
611,site_54.18_11.75,Lineus ruber,3,2000,10
612,site_54.18_11.75,Lineus ruber,4,2000,3
613,site_54.18_11.75,Lineus ruber,4,2001,14
614,site_54.18_11.75,Littorina littorea,1,2005,1
615,site_54.18_11.75,Littorina littorea,3,2000,1
616,site_54.18_11.75,Macoma balthica,1,1997,202
617,site_54.18_11.75,Macoma balthica,1,1998,404
618,site_54.18_11.75,Macoma balthica,1,1999,258
619,site_54.18_11.75,Macoma balthica,1,2000,20
620,site_54.18_11.75,Macoma balthica,1,2001,3
621,site_54.18_11.75,Macoma balthica,1,2002,3
622,site_54.18_11.75,Macoma balthica,1,2004,10
623,site_54.18_11.75,Macoma balthica,1,2005,3
624,site_54.18_11.75,Macoma balthica,2,1996,62
625,site_54.18_11.75,Macoma balthica,2,2000,96
626,site_54.18_11.75,Macoma balthica,2,2001,3
627,site_54.18_11.75,Macoma balthica,3,1994,156
628,site_54.18_11.75,Macoma balthica,3,1996,174
629,site_54.18_11.75,Macoma balthica,3,1997,731
630,site_54.18_11.75,Macoma balthica,3,1998,491
631,site_54.18_11.75,Macoma balthica,3,1999,87
632,site_54.18_11.75,Macoma balthica,3,2000,31
633,site_54.18_11.75,Macoma balthica,4,1995,47
634,site_54.18_11.75,Macoma balthica,4,1997,603
635,site_54.18_11.75,Macoma balthica,4,1998,448
636,site_54.18_11.75,Macoma balthica,4,1999,106
637,site_54.18_11.75,Macoma balthica,4,2000,3
638,site_54.18_11.75,Macoma balthica,4,2001,3
639,site_54.18_11.75,Malacobdella grossa,4,2004,7
640,site_54.18_11.75,Marenzelleria neglecta,3,1999,3
641,site_54.18_11.75,Melicertum octocostatum,2,1996,2
642,site_54.18_11.75,Melicertum octocostatum,3,1996,1
643,site_54.18_11.75,Melita palmata,4,2003,1
644,site_54.18_11.75,Metridium senile,1,2000,1
645,site_54.18_11.75,Metridium senile,1,2002,1
646,site_54.18_11.75,Metridium senile,1,2003,1
647,site_54.18_11.75,Metridium senile,1,2005,1
648,site_54.18_11.75,Metridium senile,3,1994,1
649,site_54.18_11.75,Metridium senile,4,2000,1
650,site_54.18_11.75,Metridium senile,4,2001,1
651,site_54.18_11.75,Metridium senile,4,2004,1
652,site_54.18_11.75,Microdeutopus gryllotalpa,1,1999,1
653,site_54.18_11.75,Microdeutopus gryllotalpa,1,2000,1
654,site_54.18_11.75,Microdeutopus gryllotalpa,1,2002,1
655,site_54.18_11.75,Microdeutopus gryllotalpa,1,2003,3
656,site_54.18_11.75,Microdeutopus gryllotalpa,1,2005,7
657,site_54.18_11.75,Microdeutopus gryllotalpa,2,1996,3
658,site_54.18_11.75,Microdeutopus gryllotalpa,2,2000,3
659,site_54.18_11.75,Microdeutopus gryllotalpa,2,2001,1
660,site_54.18_11.75,Microdeutopus gryllotalpa,4,1995,6
661,site_54.18_11.75,Microdeutopus gryllotalpa,4,2000,1
662,site_54.18_11.75,Microdeutopus gryllotalpa,4,2004,1
663,site_54.18_11.75,Microphthalmus aberrans,4,2001,7
664,site_54.18_11.75,Molgula manhattensis,1,2000,1
665,site_54.18_11.75,Molgula manhattensis,1,2002,7
666,site_54.18_11.75,Molgula manhattensis,1,2003,1
667,site_54.18_11.75,Molgula manhattensis,2,2001,1
668,site_54.18_11.75,Molgula manhattensis,4,2000,1
669,site_54.18_11.75,Mya arenaria,1,1997,3
670,site_54.18_11.75,Mya arenaria,1,2002,7
671,site_54.18_11.75,Mya arenaria,1,2004,1
672,site_54.18_11.75,Mya arenaria,1,2005,1
673,site_54.18_11.75,Mya arenaria,3,1997,3
674,site_54.18_11.75,Mya arenaria,3,1999,9
675,site_54.18_11.75,Mya arenaria,3,2004,1
676,site_54.18_11.75,Mya arenaria,4,1995,6
677,site_54.18_11.75,Mya arenaria,4,1997,3
678,site_54.18_11.75,Mya arenaria,4,1999,3
679,site_54.18_11.75,Mya arenaria,4,2001,3
680,site_54.18_11.75,Mya arenaria,4,2003,1
681,site_54.18_11.75,Mya truncata,1,2001,14
682,site_54.18_11.75,Mya truncata,2,2001,10
683,site_54.18_11.75,Mya truncata,3,1999,3
684,site_54.18_11.75,Mya truncata,3,2000,31
685,site_54.18_11.75,Mya truncata,4,2000,92
686,site_54.18_11.75,Mya truncata,4,2001,3
687,site_54.18_11.75,Mysella bidentata,1,1997,174
688,site_54.18_11.75,Mysella bidentata,1,1998,87
689,site_54.18_11.75,Mysella bidentata,1,1999,58
690,site_54.18_11.75,Mysella bidentata,1,2000,7
691,site_54.18_11.75,Mysella bidentata,1,2001,31
692,site_54.18_11.75,Mysella bidentata,1,2002,17
693,site_54.18_11.75,Mysella bidentata,1,2003,92
694,site_54.18_11.75,Mysella bidentata,1,2004,289
695,site_54.18_11.75,Mysella bidentata,1,2005,293
696,site_54.18_11.75,Mysella bidentata,2,1996,196
697,site_54.18_11.75,Mysella bidentata,2,2000,34
698,site_54.18_11.75,Mysella bidentata,2,2001,44
699,site_54.18_11.75,Mysella bidentata,3,1996,112
700,site_54.18_11.75,Mysella bidentata,3,1997,127
701,site_54.18_11.75,Mysella bidentata,3,1998,53
702,site_54.18_11.75,Mysella bidentata,3,1999,56
703,site_54.18_11.75,Mysella bidentata,3,2000,14
704,site_54.18_11.75,Mysella bidentata,3,2004,173
705,site_54.18_11.75,Mysella bidentata,4,1997,171
706,site_54.18_11.75,Mysella bidentata,4,1998,25
707,site_54.18_11.75,Mysella bidentata,4,1999,84
708,site_54.18_11.75,Mysella bidentata,4,2000,61
709,site_54.18_11.75,Mysella bidentata,4,2001,41
710,site_54.18_11.75,Mysella bidentata,4,2003,330
711,site_54.18_11.75,Mysella bidentata,4,2004,265
712,site_54.18_11.75,Mysis mixta,1,1999,1
713,site_54.18_11.75,Mysis mixta,1,2002,1
714,site_54.18_11.75,Mysis mixta,3,2000,1
715,site_54.18_11.75,Mysis mixta,3,2004,1
716,site_54.18_11.75,Mytilus edulis,1,1997,3
717,site_54.18_11.75,Mytilus edulis,1,1998,100
718,site_54.18_11.75,Mytilus edulis,1,1999,77
719,site_54.18_11.75,Mytilus edulis,1,2000,3
720,site_54.18_11.75,Mytilus edulis,1,2001,58
721,site_54.18_11.75,Mytilus edulis,1,2002,201
722,site_54.18_11.75,Mytilus edulis,1,2003,17
723,site_54.18_11.75,Mytilus edulis,1,2004,3
724,site_54.18_11.75,Mytilus edulis,1,2005,2476
725,site_54.18_11.75,Mytilus edulis,2,1996,12
726,site_54.18_11.75,Mytilus edulis,2,2001,44
727,site_54.18_11.75,Mytilus edulis,3,1996,16
728,site_54.18_11.75,Mytilus edulis,3,1997,3
729,site_54.18_11.75,Mytilus edulis,3,1998,97
730,site_54.18_11.75,Mytilus edulis,3,1999,34
731,site_54.18_11.75,Mytilus edulis,3,2000,156
732,site_54.18_11.75,Mytilus edulis,3,2004,7
733,site_54.18_11.75,Mytilus edulis,4,1995,3
734,site_54.18_11.75,Mytilus edulis,4,1997,6
735,site_54.18_11.75,Mytilus edulis,4,1998,12
736,site_54.18_11.75,Mytilus edulis,4,1999,1
737,site_54.18_11.75,Mytilus edulis,4,2000,88
738,site_54.18_11.75,Mytilus edulis,4,2001,31
739,site_54.18_11.75,Mytilus edulis,4,2003,7
740,site_54.18_11.75,Mytilus edulis,4,2004,61
741,site_54.18_11.75,Neanthes succinea,1,2003,1
742,site_54.18_11.75,Neanthes succinea,3,2000,1
743,site_54.18_11.75,Neanthes succinea,4,1995,3
744,site_54.18_11.75,Nemertina,1,1997,3
745,site_54.18_11.75,Nemertina,1,1998,19
746,site_54.18_11.75,Nemertina,1,1999,22
747,site_54.18_11.75,Nemertina,1,2000,3
748,site_54.18_11.75,Nemertina,1,2001,10
749,site_54.18_11.75,Nemertina,1,2002,7
750,site_54.18_11.75,Nemertina,1,2005,17
751,site_54.18_11.75,Nemertina,2,2000,9
752,site_54.18_11.75,Nemertina,3,1994,130
753,site_54.18_11.75,Nemertina,3,1996,6
754,site_54.18_11.75,Nemertina,3,1997,3
755,site_54.18_11.75,Nemertina,3,1999,25
756,site_54.18_11.75,Nemertina,3,2000,14
757,site_54.18_11.75,Nemertina,3,2004,1
758,site_54.18_11.75,Nemertina,4,1997,3
759,site_54.18_11.75,Nemertina,4,1998,9
760,site_54.18_11.75,Nemertina,4,1999,3
761,site_54.18_11.75,Nemertina,4,2000,10
762,site_54.18_11.75,Nemertina,4,2001,7
763,site_54.18_11.75,Nemertina,4,2004,17
764,site_54.18_11.75,Nephtys,1,1998,3
765,site_54.18_11.75,Nephtys,1,1999,106
766,site_54.18_11.75,Nephtys,2,2000,53
767,site_54.18_11.75,Nephtys,3,1994,26
768,site_54.18_11.75,Nephtys,3,1998,28
769,site_54.18_11.75,Nephtys,3,1999,81
770,site_54.18_11.75,Nephtys,4,1998,65
771,site_54.18_11.75,Nephtys,4,1999,62
772,site_54.18_11.75,Nephtys caeca,1,1998,3
773,site_54.18_11.75,Nephtys caeca,1,2002,10
774,site_54.18_11.75,Nephtys caeca,1,2003,3
775,site_54.18_11.75,Nephtys caeca,2,2001,34
776,site_54.18_11.75,Nephtys caeca,3,2004,1
777,site_54.18_11.75,Nephtys caeca,4,2000,7
778,site_54.18_11.75,Nephtys caeca,4,2001,3
779,site_54.18_11.75,Nephtys caeca,4,2004,1
780,site_54.18_11.75,Nephtys ciliata,1,1998,9
781,site_54.18_11.75,Nephtys ciliata,1,1999,18
782,site_54.18_11.75,Nephtys ciliata,1,2000,1
783,site_54.18_11.75,Nephtys ciliata,1,2001,3
784,site_54.18_11.75,Nephtys ciliata,1,2002,7
785,site_54.18_11.75,Nephtys ciliata,1,2005,17
786,site_54.18_11.75,Nephtys ciliata,2,2000,19
787,site_54.18_11.75,Nephtys ciliata,2,2001,20
788,site_54.18_11.75,Nephtys ciliata,3,1997,9
789,site_54.18_11.75,Nephtys ciliata,3,1998,41
790,site_54.18_11.75,Nephtys ciliata,3,1999,50
791,site_54.18_11.75,Nephtys ciliata,3,2000,20
792,site_54.18_11.75,Nephtys ciliata,3,2004,17
793,site_54.18_11.75,Nephtys ciliata,4,1997,3
794,site_54.18_11.75,Nephtys ciliata,4,1998,3
795,site_54.18_11.75,Nephtys ciliata,4,1999,25
796,site_54.18_11.75,Nephtys ciliata,4,2000,3
797,site_54.18_11.75,Nephtys ciliata,4,2001,14
798,site_54.18_11.75,Nephtys hombergii,1,1997,96
799,site_54.18_11.75,Nephtys hombergii,1,1998,187
800,site_54.18_11.75,Nephtys hombergii,1,1999,355
801,site_54.18_11.75,Nephtys hombergii,1,2000,65
802,site_54.18_11.75,Nephtys hombergii,1,2001,71
803,site_54.18_11.75,Nephtys hombergii,1,2002,17
804,site_54.18_11.75,Nephtys hombergii,1,2003,37
805,site_54.18_11.75,Nephtys hombergii,1,2004,133
806,site_54.18_11.75,Nephtys hombergii,1,2005,153
807,site_54.18_11.75,Nephtys hombergii,2,1996,265
808,site_54.18_11.75,Nephtys hombergii,2,2000,93
809,site_54.18_11.75,Nephtys hombergii,2,2001,14
810,site_54.18_11.75,Nephtys hombergii,3,1996,149
811,site_54.18_11.75,Nephtys hombergii,3,1997,115
812,site_54.18_11.75,Nephtys hombergii,3,1998,93
813,site_54.18_11.75,Nephtys hombergii,3,1999,81
814,site_54.18_11.75,Nephtys hombergii,3,2000,85
815,site_54.18_11.75,Nephtys hombergii,3,2004,78
816,site_54.18_11.75,Nephtys hombergii,4,1995,93
817,site_54.18_11.75,Nephtys hombergii,4,1997,128
818,site_54.18_11.75,Nephtys hombergii,4,1998,106
819,site_54.18_11.75,Nephtys hombergii,4,1999,121
820,site_54.18_11.75,Nephtys hombergii,4,2000,75
821,site_54.18_11.75,Nephtys hombergii,4,2001,20
822,site_54.18_11.75,Nephtys hombergii,4,2003,75
823,site_54.18_11.75,Nephtys hombergii,4,2004,136
824,site_54.18_11.75,Nephtys longosetosa,1,1999,14
825,site_54.18_11.75,Nereimyra punctata,1,1999,1
826,site_54.18_11.75,Nereimyra punctata,1,2000,1
827,site_54.18_11.75,Nereimyra punctata,1,2001,7
828,site_54.18_11.75,Nereimyra punctata,1,2002,10
829,site_54.18_11.75,Nereimyra punctata,1,2003,1
830,site_54.18_11.75,Nereimyra punctata,1,2004,7
831,site_54.18_11.75,Nereimyra punctata,1,2005,1
832,site_54.18_11.75,Nereimyra punctata,2,2001,14
833,site_54.18_11.75,Nereimyra punctata,3,2000,3
834,site_54.18_11.75,Nereimyra punctata,3,2004,1
835,site_54.18_11.75,Nereimyra punctata,4,1998,9
836,site_54.18_11.75,Nereimyra punctata,4,1999,3
837,site_54.18_11.75,Nereimyra punctata,4,2000,1
838,site_54.18_11.75,Nereimyra punctata,4,2001,7
839,site_54.18_11.75,Nereimyra punctata,4,2003,20
840,site_54.18_11.75,Nereimyra punctata,4,2004,1
841,site_54.18_11.75,Nymphon brevirostre,1,2005,1
842,site_54.18_11.75,Nymphon brevirostre,3,2004,1
843,site_54.18_11.75,Nymphon brevirostre,4,2001,3
844,site_54.18_11.75,Odostomia rissoides,1,2005,1
845,site_54.18_11.75,Opercularella lacerata,1,1999,1
846,site_54.18_11.75,Opercularella lacerata,1,2002,1
847,site_54.18_11.75,Opercularella lacerata,1,2003,1
848,site_54.18_11.75,Opercularella lacerata,4,2001,1
849,site_54.18_11.75,Opercularella lacerata,4,2003,1
850,site_54.18_11.75,Opercularella pumila,3,2000,1
851,site_54.18_11.75,Ophiura albida,1,2000,3
852,site_54.18_11.75,Ophiura albida,1,2002,1
853,site_54.18_11.75,Ophiura albida,1,2005,1
854,site_54.18_11.75,Ophiura albida,3,2000,3
855,site_54.18_11.75,Ophiura albida,4,2001,3
856,site_54.18_11.75,Parvicardium ovale,1,1999,7
857,site_54.18_11.75,Parvicardium ovale,1,2002,1
858,site_54.18_11.75,Parvicardium ovale,1,2004,3
859,site_54.18_11.75,Parvicardium ovale,3,2000,3
860,site_54.18_11.75,Parvicardium ovale,3,2004,3
861,site_54.18_11.75,Phaxas pellucidus,1,1999,1
862,site_54.18_11.75,Phaxas pellucidus,1,2004,3
863,site_54.18_11.75,Phaxas pellucidus,1,2005,1
864,site_54.18_11.75,Phaxas pellucidus,3,1998,3
865,site_54.18_11.75,Phaxas pellucidus,3,2004,7
866,site_54.18_11.75,Pherusa plumosa,1,2002,20
867,site_54.18_11.75,Pherusa plumosa,1,2005,1
868,site_54.18_11.75,Pherusa plumosa,2,2001,10
869,site_54.18_11.75,Pherusa plumosa,3,2000,1
870,site_54.18_11.75,Pherusa plumosa,4,2001,1
871,site_54.18_11.75,Pholoe,1,1999,9
872,site_54.18_11.75,Pholoe,2,2000,19
873,site_54.18_11.75,Pholoe,3,1997,6
874,site_54.18_11.75,Pholoe,3,1999,336
875,site_54.18_11.75,Pholoe,4,1999,93
876,site_54.18_11.75,Pholoe assimilis,1,2000,48
877,site_54.18_11.75,Pholoe assimilis,1,2001,7
878,site_54.18_11.75,Pholoe assimilis,1,2002,41
879,site_54.18_11.75,Pholoe assimilis,1,2004,41
880,site_54.18_11.75,Pholoe assimilis,1,2005,68
881,site_54.18_11.75,Pholoe assimilis,2,2001,82
882,site_54.18_11.75,Pholoe assimilis,3,1994,196
883,site_54.18_11.75,Pholoe assimilis,3,2000,224
884,site_54.18_11.75,Pholoe assimilis,3,2004,68
885,site_54.18_11.75,Pholoe assimilis,4,2000,105
886,site_54.18_11.75,Pholoe assimilis,4,2001,71
887,site_54.18_11.75,Pholoe assimilis,4,2003,3
888,site_54.18_11.75,Pholoe assimilis,4,2004,54
889,site_54.18_11.75,Pholoe baltica,1,1999,1
890,site_54.18_11.75,Pholoe baltica,1,2001,3
891,site_54.18_11.75,Pholoe baltica,1,2005,10
892,site_54.18_11.75,Pholoe baltica,3,2004,3
893,site_54.18_11.75,Pholoe baltica,4,2004,1
894,site_54.18_11.75,Pholoe inornata,2,2001,27
895,site_54.18_11.75,Pholoe inornata,3,2000,92
896,site_54.18_11.75,Pholoe inornata,3,2004,48
897,site_54.18_11.75,Pholoe inornata,4,2000,20
898,site_54.18_11.75,Pholoe inornata,4,2001,1
899,site_54.18_11.75,Pholoe inornata,4,2004,10
900,site_54.18_11.75,Phtisica marina,1,2005,1
901,site_54.18_11.75,Phyllodoce (Anaitides) maculata,1,1999,3
902,site_54.18_11.75,Phyllodoce (Anaitides) maculata,1,2002,1
903,site_54.18_11.75,Phyllodoce (Anaitides) maculata,2,2001,3
904,site_54.18_11.75,Phyllodoce (Anaitides) maculata,3,1994,195
905,site_54.18_11.75,Phyllodoce (Anaitides) maculata,3,2000,1
906,site_54.18_11.75,Phyllodoce (Anaitides) maculata,4,2001,1
907,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,1,1997,34
908,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,1,1998,19
909,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,1,1999,19
910,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,1,2001,7
911,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,1,2002,37
912,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,1,2003,14
913,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,1,2004,7
914,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,1,2005,1
915,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,2,1996,6
916,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,2,2000,9
917,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,2,2001,10
918,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,3,1996,3
919,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,3,1997,9
920,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,3,1998,25
921,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,3,1999,12
922,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,3,2000,1
923,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,3,2004,20
924,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,4,1997,34
925,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,4,1998,3
926,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,4,1999,3
927,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,4,2001,14
928,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,4,2003,1
929,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,4,2004,1
930,site_54.18_11.75,Polydora (Polydora) quadrilobata,1,1998,16
931,site_54.18_11.75,Polydora (Polydora) quadrilobata,1,1999,83
932,site_54.18_11.75,Polydora (Polydora) quadrilobata,1,2000,139
933,site_54.18_11.75,Polydora (Polydora) quadrilobata,1,2001,197
934,site_54.18_11.75,Polydora (Polydora) quadrilobata,1,2002,75
935,site_54.18_11.75,Polydora (Polydora) quadrilobata,1,2004,75
936,site_54.18_11.75,Polydora (Polydora) quadrilobata,1,2005,10
937,site_54.18_11.75,Polydora (Polydora) quadrilobata,2,1996,3
938,site_54.18_11.75,Polydora (Polydora) quadrilobata,2,2000,44
939,site_54.18_11.75,Polydora (Polydora) quadrilobata,2,2001,320
940,site_54.18_11.75,Polydora (Polydora) quadrilobata,3,1994,13
941,site_54.18_11.75,Polydora (Polydora) quadrilobata,3,1997,16
942,site_54.18_11.75,Polydora (Polydora) quadrilobata,3,1998,90
943,site_54.18_11.75,Polydora (Polydora) quadrilobata,3,1999,304
944,site_54.18_11.75,Polydora (Polydora) quadrilobata,3,2000,544
945,site_54.18_11.75,Polydora (Polydora) quadrilobata,3,2004,3
946,site_54.18_11.75,Polydora (Polydora) quadrilobata,4,1995,16
947,site_54.18_11.75,Polydora (Polydora) quadrilobata,4,1997,12
948,site_54.18_11.75,Polydora (Polydora) quadrilobata,4,1998,53
949,site_54.18_11.75,Polydora (Polydora) quadrilobata,4,1999,121
950,site_54.18_11.75,Polydora (Polydora) quadrilobata,4,2000,340
951,site_54.18_11.75,Polydora (Polydora) quadrilobata,4,2001,129
952,site_54.18_11.75,Polydora (Polydora) quadrilobata,4,2003,54
953,site_54.18_11.75,Polydora (Polydora) quadrilobata,4,2004,7
954,site_54.18_11.75,Polydora caeca,1,2004,3
955,site_54.18_11.75,Polydora caeca,4,2003,10
956,site_54.18_11.75,Polydora caulleryi,2,2001,3
957,site_54.18_11.75,Polydora caulleryi,4,2001,7
958,site_54.18_11.75,Polydora ciliata,1,1999,1
959,site_54.18_11.75,Polydora ciliata,1,2000,37
960,site_54.18_11.75,Polydora ciliata,1,2001,88
961,site_54.18_11.75,Polydora ciliata,1,2002,7
962,site_54.18_11.75,Polydora ciliata,1,2003,102
963,site_54.18_11.75,Polydora ciliata,2,1996,31
964,site_54.18_11.75,Polydora ciliata,2,2001,34
965,site_54.18_11.75,Polydora ciliata,3,1994,13
966,site_54.18_11.75,Polydora ciliata,3,1996,3
