,site,MMDDYYY,scientificnameaccepted,Count (Dmnless)
937,site_54.18_11.75,3-11-1997,Phyllodoce (Anaitides) mucosa,34
938,site_54.18_11.75,7-22-1997,Phyllodoce (Anaitides) mucosa,9
939,site_54.18_11.75,11-7-1997,Phyllodoce (Anaitides) mucosa,34
940,site_54.18_11.75,3-11-1998,Phyllodoce (Anaitides) mucosa,19
941,site_54.18_11.75,7-23-1998,Phyllodoce (Anaitides) mucosa,25
942,site_54.18_11.75,11-3-1998,Phyllodoce (Anaitides) mucosa,3
943,site_54.18_11.75,2-12-1999,Phyllodoce (Anaitides) mucosa,7
944,site_54.18_11.75,3-16-1999,Phyllodoce (Anaitides) mucosa,12
945,site_54.18_11.75,8-4-1999,Phyllodoce (Anaitides) mucosa,12
946,site_54.18_11.75,11-16-1999,Phyllodoce (Anaitides) mucosa,3
947,site_54.18_11.75,4-12-2000,Phyllodoce (Anaitides) mucosa,9
948,site_54.18_11.75,8-30-2000,Phyllodoce (Anaitides) mucosa,1
949,site_54.18_11.75,3-27-2001,Phyllodoce (Anaitides) mucosa,7
950,site_54.18_11.75,6-28-2001,Phyllodoce (Anaitides) mucosa,10
951,site_54.18_11.75,10-26-2001,Phyllodoce (Anaitides) mucosa,14
952,site_54.18_11.75,2-5-2002,Phyllodoce (Anaitides) mucosa,37
953,site_54.18_11.75,2-14-2003,Phyllodoce (Anaitides) mucosa,14
954,site_54.18_11.75,10-14-2003,Phyllodoce (Anaitides) mucosa,1
955,site_54.18_11.75,2-13-2004,Phyllodoce (Anaitides) mucosa,7
956,site_54.18_11.75,8-21-2004,Phyllodoce (Anaitides) mucosa,20
957,site_54.18_11.75,10-30-2004,Phyllodoce (Anaitides) mucosa,1
958,site_54.18_11.75,2-8-2005,Phyllodoce (Anaitides) mucosa,1
959,site_54.18_11.75,8-5-1994,Polydora (Polydora) quadrilobata,13
960,site_54.18_11.75,10-4-1995,Polydora (Polydora) quadrilobata,16
961,site_54.18_11.75,6-26-1996,Polydora (Polydora) quadrilobata,3
962,site_54.18_11.75,7-22-1997,Polydora (Polydora) quadrilobata,16
963,site_54.18_11.75,11-7-1997,Polydora (Polydora) quadrilobata,12
964,site_54.18_11.75,3-11-1998,Polydora (Polydora) quadrilobata,16
965,site_54.18_11.75,7-23-1998,Polydora (Polydora) quadrilobata,90
966,site_54.18_11.75,11-3-1998,Polydora (Polydora) quadrilobata,53
967,site_54.18_11.75,2-12-1999,Polydora (Polydora) quadrilobata,37
968,site_54.18_11.75,3-16-1999,Polydora (Polydora) quadrilobata,46
969,site_54.18_11.75,8-4-1999,Polydora (Polydora) quadrilobata,304
970,site_54.18_11.75,11-16-1999,Polydora (Polydora) quadrilobata,121
971,site_54.18_11.75,2-18-2000,Polydora (Polydora) quadrilobata,139
972,site_54.18_11.75,4-12-2000,Polydora (Polydora) quadrilobata,44
973,site_54.18_11.75,8-30-2000,Polydora (Polydora) quadrilobata,544
974,site_54.18_11.75,10-25-2000,Polydora (Polydora) quadrilobata,340
975,site_54.18_11.75,3-27-2001,Polydora (Polydora) quadrilobata,197
976,site_54.18_11.75,6-28-2001,Polydora (Polydora) quadrilobata,320
977,site_54.18_11.75,10-26-2001,Polydora (Polydora) quadrilobata,129
978,site_54.18_11.75,2-5-2002,Polydora (Polydora) quadrilobata,75
979,site_54.18_11.75,10-14-2003,Polydora (Polydora) quadrilobata,54
980,site_54.18_11.75,2-13-2004,Polydora (Polydora) quadrilobata,75
981,site_54.18_11.75,8-21-2004,Polydora (Polydora) quadrilobata,3
982,site_54.18_11.75,10-30-2004,Polydora (Polydora) quadrilobata,7
983,site_54.18_11.75,2-8-2005,Polydora (Polydora) quadrilobata,10
984,site_54.18_11.75,10-14-2003,Polydora caeca,10
985,site_54.18_11.75,2-13-2004,Polydora caeca,3
986,site_54.18_11.75,6-28-2001,Polydora caulleryi,3
987,site_54.18_11.75,10-26-2001,Polydora caulleryi,7
988,site_54.18_11.75,8-5-1994,Polydora ciliata,13
989,site_54.18_11.75,10-4-1995,Polydora ciliata,1290
990,site_54.18_11.75,5-15-1996,Polydora ciliata,28
991,site_54.18_11.75,6-26-1996,Polydora ciliata,3
992,site_54.18_11.75,9-24-1996,Polydora ciliata,3
993,site_54.18_11.75,2-12-1999,Polydora ciliata,1
994,site_54.18_11.75,8-4-1999,Polydora ciliata,3
995,site_54.18_11.75,2-18-2000,Polydora ciliata,37
996,site_54.18_11.75,8-30-2000,Polydora ciliata,10
997,site_54.18_11.75,10-25-2000,Polydora ciliata,150
998,site_54.18_11.75,3-27-2001,Polydora ciliata,88
999,site_54.18_11.75,6-28-2001,Polydora ciliata,34
1000,site_54.18_11.75,10-26-2001,Polydora ciliata,34
1001,site_54.18_11.75,2-5-2002,Polydora ciliata,7
1002,site_54.18_11.75,2-14-2003,Polydora ciliata,102
1003,site_54.18_11.75,10-14-2003,Polydora ciliata,354
1004,site_54.18_11.75,10-30-2004,Polydora ciliata,3
1005,site_54.18_11.75,11-3-1998,Pontoporeia femorata,3
1006,site_54.18_11.75,2-12-1999,Pontoporeia femorata,1
1007,site_54.18_11.75,8-30-2000,Pontoporeia femorata,3
1008,site_54.18_11.75,9-24-1996,Praunus inermis,6
1009,site_54.18_11.75,8-5-1994,Priapulus caudatus,13
1010,site_54.18_11.75,2-18-2000,Priapulus caudatus,7
1011,site_54.18_11.75,6-28-2001,Priapulus caudatus,7
1012,site_54.18_11.75,2-5-2002,Priapulus caudatus,3
1013,site_54.18_11.75,2-8-2005,Priapulus caudatus,3
1014,site_54.18_11.75,2-8-2005,Pseudopolydora antennata,3
1015,site_54.18_11.75,10-26-2001,Pseudopolydora pulchra,10
1016,site_54.18_11.75,2-13-2004,Pseudopolydora pulchra,3
1017,site_54.18_11.75,10-30-2004,Pseudopolydora pulchra,7
1018,site_54.18_11.75,10-30-2004,Pusillina inconspicua,1
1019,site_54.18_11.75,2-8-2005,Pusillina inconspicua,1
1020,site_54.18_11.75,10-4-1995,Pygospio elegans,13
1021,site_54.18_11.75,5-15-1996,Pygospio elegans,15
1022,site_54.18_11.75,6-26-1996,Pygospio elegans,28
1023,site_54.18_11.75,9-24-1996,Pygospio elegans,31
1024,site_54.18_11.75,7-22-1997,Pygospio elegans,28
1025,site_54.18_11.75,11-7-1997,Pygospio elegans,12
1026,site_54.18_11.75,3-11-1998,Pygospio elegans,19
1027,site_54.18_11.75,7-23-1998,Pygospio elegans,9
1028,site_54.18_11.75,11-3-1998,Pygospio elegans,3
1029,site_54.18_11.75,2-12-1999,Pygospio elegans,3
1030,site_54.18_11.75,8-4-1999,Pygospio elegans,19
1031,site_54.18_11.75,11-16-1999,Pygospio elegans,6
1032,site_54.18_11.75,8-30-2000,Pygospio elegans,78
1033,site_54.18_11.75,10-25-2000,Pygospio elegans,27
1034,site_54.18_11.75,6-28-2001,Pygospio elegans,7
1035,site_54.18_11.75,10-26-2001,Pygospio elegans,10
1036,site_54.18_11.75,10-14-2003,Pygospio elegans,119
1037,site_54.18_11.75,2-13-2004,Pygospio elegans,3
1038,site_54.18_11.75,7-23-1998,Scalibregma inflatum,3
1039,site_54.18_11.75,2-12-1999,Scalibregma inflatum,14
1040,site_54.18_11.75,8-4-1999,Scalibregma inflatum,9
1041,site_54.18_11.75,8-30-2000,Scalibregma inflatum,27
1042,site_54.18_11.75,6-28-2001,Scalibregma inflatum,10
1043,site_54.18_11.75,10-26-2001,Scalibregma inflatum,31
1044,site_54.18_11.75,2-5-2002,Scalibregma inflatum,3
1045,site_54.18_11.75,10-14-2003,Scalibregma inflatum,3
1046,site_54.18_11.75,2-13-2004,Scalibregma inflatum,14
1047,site_54.18_11.75,8-21-2004,Scalibregma inflatum,156
1048,site_54.18_11.75,8-5-1994,Scoloplos armiger,300
1049,site_54.18_11.75,5-15-1996,Scoloplos armiger,6
1050,site_54.18_11.75,6-26-1996,Scoloplos armiger,12
1051,site_54.18_11.75,9-24-1996,Scoloplos armiger,12
1052,site_54.18_11.75,3-11-1997,Scoloplos armiger,97
1053,site_54.18_11.75,7-22-1997,Scoloplos armiger,330
1054,site_54.18_11.75,11-7-1997,Scoloplos armiger,59
1055,site_54.18_11.75,3-11-1998,Scoloplos armiger,143
1056,site_54.18_11.75,7-23-1998,Scoloplos armiger,227
1057,site_54.18_11.75,11-3-1998,Scoloplos armiger,121
1058,site_54.18_11.75,2-12-1999,Scoloplos armiger,177
1059,site_54.18_11.75,3-16-1999,Scoloplos armiger,140
1060,site_54.18_11.75,8-4-1999,Scoloplos armiger,289
1061,site_54.18_11.75,11-16-1999,Scoloplos armiger,3
1062,site_54.18_11.75,2-18-2000,Scoloplos armiger,3
1063,site_54.18_11.75,8-30-2000,Scoloplos armiger,7
1064,site_54.18_11.75,6-28-2001,Scoloplos armiger,1
1065,site_54.18_11.75,10-26-2001,Scoloplos armiger,10
1066,site_54.18_11.75,2-5-2002,Scoloplos armiger,10
1067,site_54.18_11.75,10-14-2003,Scoloplos armiger,71
1068,site_54.18_11.75,2-13-2004,Scoloplos armiger,126
1069,site_54.18_11.75,8-21-2004,Scoloplos armiger,316
1070,site_54.18_11.75,10-30-2004,Scoloplos armiger,14
1071,site_54.18_11.75,2-8-2005,Scoloplos armiger,7
1072,site_54.18_11.75,6-26-1996,Spio filicornis,6
1073,site_54.18_11.75,9-24-1996,Spio filicornis,3
1074,site_54.18_11.75,8-30-2000,Spio filicornis,3
1075,site_54.18_11.75,2-5-2002,Spio filicornis,1
1076,site_54.18_11.75,10-14-2003,Streptosyllis websteri,1
1077,site_54.18_11.75,8-5-1994,Styela coriacea,13
1078,site_54.18_11.75,2-5-2002,Styela coriacea,37
1079,site_54.18_11.75,3-11-1997,Terebellides stroemii,6
1080,site_54.18_11.75,11-7-1997,Terebellides stroemii,9
1081,site_54.18_11.75,3-11-1998,Terebellides stroemii,3
1082,site_54.18_11.75,7-23-1998,Terebellides stroemii,68
1083,site_54.18_11.75,11-3-1998,Terebellides stroemii,46
1084,site_54.18_11.75,2-12-1999,Terebellides stroemii,51
1085,site_54.18_11.75,3-16-1999,Terebellides stroemii,47
1086,site_54.18_11.75,8-4-1999,Terebellides stroemii,809
1087,site_54.18_11.75,11-16-1999,Terebellides stroemii,237
1088,site_54.18_11.75,2-18-2000,Terebellides stroemii,316
1089,site_54.18_11.75,4-12-2000,Terebellides stroemii,301
1090,site_54.18_11.75,8-30-2000,Terebellides stroemii,2034
1091,site_54.18_11.75,10-25-2000,Terebellides stroemii,439
1092,site_54.18_11.75,3-27-2001,Terebellides stroemii,224
1093,site_54.18_11.75,6-28-2001,Terebellides stroemii,772
1094,site_54.18_11.75,10-26-2001,Terebellides stroemii,1102
1095,site_54.18_11.75,2-5-2002,Terebellides stroemii,1160
1096,site_54.18_11.75,10-14-2003,Terebellides stroemii,3
1097,site_54.18_11.75,2-13-2004,Terebellides stroemii,3
1098,site_54.18_11.75,8-21-2004,Terebellides stroemii,17
1099,site_54.18_11.75,10-30-2004,Terebellides stroemii,3
1100,site_54.18_11.75,2-8-2005,Terebellides stroemii,7
1101,site_54.18_11.75,8-5-1994,Trochochaeta multisetosa,13
1102,site_54.18_11.75,3-11-1997,Trochochaeta multisetosa,6
1103,site_54.18_11.75,7-22-1997,Trochochaeta multisetosa,3
1104,site_54.18_11.75,11-7-1997,Trochochaeta multisetosa,3
1105,site_54.18_11.75,3-11-1998,Trochochaeta multisetosa,3
1106,site_54.18_11.75,7-23-1998,Trochochaeta multisetosa,115
1107,site_54.18_11.75,11-3-1998,Trochochaeta multisetosa,25
1108,site_54.18_11.75,3-16-1999,Trochochaeta multisetosa,47
1109,site_54.18_11.75,8-4-1999,Trochochaeta multisetosa,59
1110,site_54.18_11.75,11-16-1999,Trochochaeta multisetosa,16
1111,site_54.18_11.75,2-18-2000,Trochochaeta multisetosa,20
1112,site_54.18_11.75,4-12-2000,Trochochaeta multisetosa,12
1113,site_54.18_11.75,8-30-2000,Trochochaeta multisetosa,7
1114,site_54.18_11.75,10-25-2000,Trochochaeta multisetosa,14
1115,site_54.18_11.75,6-28-2001,Trochochaeta multisetosa,3
1116,site_54.18_11.75,10-14-2003,Trochochaeta multisetosa,3
1117,site_54.18_11.75,2-13-2004,Trochochaeta multisetosa,7
1118,site_54.18_11.75,8-21-2004,Trochochaeta multisetosa,24
1119,site_54.18_11.75,10-30-2004,Trochochaeta multisetosa,31
1120,site_54.18_11.75,2-8-2005,Trochochaeta multisetosa,34
1121,site_54.18_11.75,11-3-1998,Tubifex costatus,3
1122,site_54.18_11.75,2-12-1999,Tubifex costatus,1
1123,site_54.18_11.75,10-4-1995,Tubificoides benedeni,3
1124,site_54.18_11.75,7-22-1997,Tubificoides benedeni,3
1125,site_54.18_11.75,11-7-1997,Tubificoides benedeni,3
1126,site_54.18_11.75,2-12-1999,Tubificoides benedeni,3
1127,site_54.18_11.75,3-16-1999,Tubificoides benedeni,12
1128,site_54.18_11.75,8-4-1999,Tubificoides benedeni,9
1129,site_54.18_11.75,11-16-1999,Tubificoides benedeni,3
1130,site_54.18_11.75,2-8-2005,Tubificoides benedeni,3
1131,site_54.18_11.75,6-28-2001,Tubularia,1
1132,site_54.18_11.75,2-5-2002,Turbellaria,3
1133,site_54.18_11.75,10-14-2003,Urticina felina,7
1134,site_54.18_11.75,8-30-2000,Valkeria uva,1
1135,site_54.18_11.75,10-25-2000,Valkeria uva,1
1136,site_54.18_11.75,10-26-2001,Valkeria uva,1
1137,site_54.18_11.75,2-5-2002,Valkeria uva,1
1138,site_54.18_11.75,2-8-2005,Valkeria uva,1
1139,site_54.22_12.09,5-9-2003,Acanthodoris pilosa,1
1140,site_54.22_12.09,5-9-2003,Alcyonidium polyoum,1
1141,site_54.22_12.09,10-28-1993,Arenicola marina,2
1142,site_54.22_12.09,9-19-1994,Arenicola marina,34
1143,site_54.22_12.09,10-28-1995,Arenicola marina,9
1144,site_54.22_12.09,2-3-1998,Arenicola marina,3
1145,site_54.22_12.09,2-18-2000,Arenicola marina,1
1146,site_54.22_12.09,3-22-2001,Arenicola marina,3
1147,site_54.22_12.09,2-5-2002,Arenicola marina,3
1148,site_54.22_12.09,5-9-2003,Arenicola marina,10
1149,site_54.22_12.09,2-13-2004,Arenicola marina,5
1150,site_54.22_12.09,2-8-2005,Arenicola marina,7
1151,site_54.22_12.09,2-5-2002,Asterias rubens,1
1152,site_54.22_12.09,5-9-2003,Asterias rubens,1
1153,site_54.22_12.09,2-8-2005,Asterias rubens,1
1154,site_54.22_12.09,5-9-2003,Balanus crenatus,51
1155,site_54.22_12.09,2-3-1998,Balanus improvisus,267
1156,site_54.22_12.09,2-8-2005,Balanus improvisus,3
1157,site_54.22_12.09,10-28-1993,Bathyporeia pilosa,3
1158,site_54.22_12.09,10-28-1995,Bathyporeia pilosa,2
1159,site_54.22_12.09,6-21-1996,Bathyporeia pilosa,10
1160,site_54.22_12.09,2-12-1999,Bathyporeia pilosa,61
1161,site_54.22_12.09,3-22-2001,Bathyporeia pilosa,7
1162,site_54.22_12.09,2-5-2002,Bathyporeia pilosa,7
1163,site_54.22_12.09,2-8-2005,Bathyporeia pilosa,20
1164,site_54.22_12.09,9-19-1994,Bylgides sarsi,5
1165,site_54.22_12.09,10-28-1995,Bylgides sarsi,2
1166,site_54.22_12.09,6-21-1996,Bylgides sarsi,17
1167,site_54.22_12.09,2-3-1998,Bylgides sarsi,3
1168,site_54.22_12.09,3-22-2001,Bylgides sarsi,17
1169,site_54.22_12.09,2-5-2002,Bylgides sarsi,7
1170,site_54.22_12.09,5-9-2003,Bylgides sarsi,37
1171,site_54.22_12.09,2-13-2004,Bylgides sarsi,3
1172,site_54.22_12.09,2-8-2005,Bylgides sarsi,3
1173,site_54.22_12.09,5-9-2003,Callipallene brevirostris,1
1174,site_54.22_12.09,2-5-2002,Callopora lineata,1
1175,site_54.22_12.09,2-13-2004,Callopora lineata,1
1176,site_54.22_12.09,2-8-2005,Callopora lineata,1
1177,site_54.22_12.09,10-28-1993,Capitella capitata,29
1178,site_54.22_12.09,9-19-1994,Capitella capitata,17
1179,site_54.22_12.09,10-28-1995,Capitella capitata,49
1180,site_54.22_12.09,6-21-1996,Capitella capitata,36
1181,site_54.22_12.09,2-3-1998,Capitella capitata,10
1182,site_54.22_12.09,2-18-2000,Capitella capitata,7
1183,site_54.22_12.09,3-22-2001,Capitella capitata,3
1184,site_54.22_12.09,2-5-2002,Capitella capitata,14
1185,site_54.22_12.09,5-9-2003,Capitella capitata,3
1186,site_54.22_12.09,2-13-2004,Capitella capitata,5
1187,site_54.22_12.09,10-28-1993,Cerastoderma glaucum,31
1188,site_54.22_12.09,9-19-1994,Cerastoderma glaucum,139
1189,site_54.22_12.09,10-28-1995,Cerastoderma glaucum,145
1190,site_54.22_12.09,6-21-1996,Cerastoderma glaucum,44
1191,site_54.22_12.09,2-3-1998,Cerastoderma glaucum,177
1192,site_54.22_12.09,2-12-1999,Cerastoderma glaucum,68
1193,site_54.22_12.09,2-18-2000,Cerastoderma glaucum,27
1194,site_54.22_12.09,3-22-2001,Cerastoderma glaucum,95
1195,site_54.22_12.09,2-5-2002,Cerastoderma glaucum,109
1196,site_54.22_12.09,5-9-2003,Cerastoderma glaucum,34
1197,site_54.22_12.09,2-13-2004,Cerastoderma glaucum,28
1198,site_54.22_12.09,2-8-2005,Cerastoderma glaucum,565
1199,site_54.22_12.09,2-5-2002,Chironomidae,1
1200,site_54.22_12.09,2-5-2002,Corophium insidiosum,1
1201,site_54.22_12.09,2-8-2005,Coryne tubulosa,1
1202,site_54.22_12.09,10-28-1995,Crangon crangon,2
1203,site_54.22_12.09,2-18-2000,Crangon crangon,1
1204,site_54.22_12.09,2-5-2002,Crangon crangon,1
1205,site_54.22_12.09,5-9-2003,Crangon crangon,1
1206,site_54.22_12.09,2-8-2005,Crangon crangon,1
1207,site_54.22_12.09,2-13-2004,Cyathura carinata,3
1208,site_54.22_12.09,5-9-2003,Dendrodoa grossularia,1
1209,site_54.22_12.09,2-8-2005,Dexamine spinosa,1
1210,site_54.22_12.09,9-19-1994,Diastylis rathkei,3
1211,site_54.22_12.09,10-28-1995,Diastylis rathkei,3
1212,site_54.22_12.09,6-21-1996,Diastylis rathkei,7
1213,site_54.22_12.09,3-22-2001,Diastylis rathkei,3
1214,site_54.22_12.09,5-9-2003,Diastylis rathkei,3
1215,site_54.22_12.09,2-5-2002,Electra pilosa,1
1216,site_54.22_12.09,10-28-1993,Eteone longa,44
1217,site_54.22_12.09,9-19-1994,Eteone longa,15
1218,site_54.22_12.09,10-28-1995,Eteone longa,14
1219,site_54.22_12.09,6-21-1996,Eteone longa,3
1220,site_54.22_12.09,2-3-1998,Eteone longa,41
1221,site_54.22_12.09,2-12-1999,Eteone longa,7
1222,site_54.22_12.09,2-18-2000,Eteone longa,41
1223,site_54.22_12.09,3-22-2001,Eteone longa,10
1224,site_54.22_12.09,2-5-2002,Eteone longa,17
1225,site_54.22_12.09,5-9-2003,Eteone longa,48
1226,site_54.22_12.09,2-13-2004,Eteone longa,38
1227,site_54.22_12.09,2-8-2005,Eteone longa,75
1228,site_54.22_12.09,5-9-2003,Eucratea loricata,1
1229,site_54.22_12.09,3-22-2001,Eulalia bilineata,3
1230,site_54.22_12.09,2-5-2002,Fabriciola baltica,1
1231,site_54.22_12.09,2-8-2005,Farrella repens,1
1232,site_54.22_12.09,5-9-2003,Flustra foliacea,1
1233,site_54.22_12.09,2-5-2002,Gammarus oceanicus,1
1234,site_54.22_12.09,2-8-2005,Gammarus oceanicus,1
1235,site_54.22_12.09,10-28-1993,Gammarus salinus,2
1236,site_54.22_12.09,2-3-1998,Gammarus salinus,7
1237,site_54.22_12.09,2-5-2002,Gammarus salinus,1
1238,site_54.22_12.09,5-9-2003,Gammarus salinus,1
1239,site_54.22_12.09,10-28-1993,Gastrosaccus spinifer,12
1240,site_54.22_12.09,9-19-1994,Gastrosaccus spinifer,17
1241,site_54.22_12.09,10-28-1995,Gastrosaccus spinifer,22
1242,site_54.22_12.09,6-21-1996,Gastrosaccus spinifer,3
1243,site_54.22_12.09,2-18-2000,Gastrosaccus spinifer,3
1244,site_54.22_12.09,3-22-2001,Gastrosaccus spinifer,3
1245,site_54.22_12.09,2-5-2002,Gastrosaccus spinifer,17
1246,site_54.22_12.09,5-9-2003,Gastrosaccus spinifer,3
1247,site_54.22_12.09,2-8-2005,Gastrosaccus spinifer,27
1248,site_54.22_12.09,2-5-2002,Halacaridae,1
1249,site_54.22_12.09,2-5-2002,Harmothoe impar,1
1250,site_54.22_12.09,2-8-2005,Hartlaubella gelatinosa,1
1251,site_54.22_12.09,10-28-1993,Hediste diversicolor,63
1252,site_54.22_12.09,9-19-1994,Hediste diversicolor,49
1253,site_54.22_12.09,10-28-1995,Hediste diversicolor,66
1254,site_54.22_12.09,6-21-1996,Hediste diversicolor,14
1255,site_54.22_12.09,2-3-1998,Hediste diversicolor,143
1256,site_54.22_12.09,2-12-1999,Hediste diversicolor,37
1257,site_54.22_12.09,2-18-2000,Hediste diversicolor,133
1258,site_54.22_12.09,3-22-2001,Hediste diversicolor,41
1259,site_54.22_12.09,2-5-2002,Hediste diversicolor,71
1260,site_54.22_12.09,5-9-2003,Hediste diversicolor,20
1261,site_54.22_12.09,2-13-2004,Hediste diversicolor,13
1262,site_54.22_12.09,2-8-2005,Hediste diversicolor,14
1263,site_54.22_12.09,9-19-1994,Heteromastus filiformis,2
1264,site_54.22_12.09,10-28-1995,Heteromastus filiformis,7
1265,site_54.22_12.09,6-21-1996,Heteromastus filiformis,3
1266,site_54.22_12.09,10-28-1993,Hydrobia ulvae,5024
1267,site_54.22_12.09,9-19-1994,Hydrobia ulvae,3442
1268,site_54.22_12.09,10-28-1995,Hydrobia ulvae,1857
1269,site_54.22_12.09,6-21-1996,Hydrobia ulvae,2279
1270,site_54.22_12.09,2-3-1998,Hydrobia ulvae,4605
1271,site_54.22_12.09,2-12-1999,Hydrobia ulvae,810
1272,site_54.22_12.09,2-18-2000,Hydrobia ulvae,871
1273,site_54.22_12.09,3-22-2001,Hydrobia ulvae,1003
1274,site_54.22_12.09,2-5-2002,Hydrobia ulvae,2609
1275,site_54.22_12.09,5-9-2003,Hydrobia ulvae,9735
1276,site_54.22_12.09,2-13-2004,Hydrobia ulvae,3003
1277,site_54.22_12.09,2-8-2005,Hydrobia ulvae,575
1278,site_54.22_12.09,2-5-2002,Idotea balthica,1
1279,site_54.22_12.09,2-8-2005,Idotea chelipes,3
1280,site_54.22_12.09,2-5-2002,Lacuna parva,1
1281,site_54.22_12.09,2-8-2005,Lagis koreni,3
1282,site_54.22_12.09,5-9-2003,Lamellidoris muricata,3
1283,site_54.22_12.09,10-28-1993,Macoma balthica,124
1284,site_54.22_12.09,9-19-1994,Macoma balthica,111
1285,site_54.22_12.09,10-28-1995,Macoma balthica,139
1286,site_54.22_12.09,6-21-1996,Macoma balthica,303
1287,site_54.22_12.09,2-3-1998,Macoma balthica,119
1288,site_54.22_12.09,2-12-1999,Macoma balthica,17
1289,site_54.22_12.09,2-18-2000,Macoma balthica,31
1290,site_54.22_12.09,3-22-2001,Macoma balthica,20
1291,site_54.22_12.09,2-5-2002,Macoma balthica,58
1292,site_54.22_12.09,5-9-2003,Macoma balthica,61
1293,site_54.22_12.09,2-13-2004,Macoma balthica,46
1294,site_54.22_12.09,2-8-2005,Macoma balthica,51
1295,site_54.22_12.09,2-18-2000,Malacoceros,3
1296,site_54.22_12.09,10-28-1993,Marenzelleria neglecta,2
1297,site_54.22_12.09,9-19-1994,Marenzelleria neglecta,3
1298,site_54.22_12.09,10-28-1995,Marenzelleria neglecta,5
1299,site_54.22_12.09,6-21-1996,Marenzelleria neglecta,7
1300,site_54.22_12.09,2-18-2000,Marenzelleria neglecta,3
1301,site_54.22_12.09,2-13-2004,Marenzelleria neglecta,18
1302,site_54.22_12.09,2-8-2005,Marenzelleria neglecta,361
1303,site_54.22_12.09,2-5-2002,Melita palmata,1
1304,site_54.22_12.09,5-9-2003,Melita palmata,1
1305,site_54.22_12.09,2-5-2002,Microdeutopus gryllotalpa,1
1306,site_54.22_12.09,5-9-2003,Microdeutopus gryllotalpa,1
1307,site_54.22_12.09,2-8-2005,Microdeutopus gryllotalpa,1
1308,site_54.22_12.09,5-9-2003,Musculus discors,1
1309,site_54.22_12.09,10-28-1993,Mya arenaria,379
1310,site_54.22_12.09,9-19-1994,Mya arenaria,675
1311,site_54.22_12.09,10-28-1995,Mya arenaria,474
1312,site_54.22_12.09,6-21-1996,Mya arenaria,167
1313,site_54.22_12.09,2-3-1998,Mya arenaria,337
1314,site_54.22_12.09,2-12-1999,Mya arenaria,776
1315,site_54.22_12.09,2-18-2000,Mya arenaria,153
1316,site_54.22_12.09,3-22-2001,Mya arenaria,786
1317,site_54.22_12.09,2-5-2002,Mya arenaria,779
1318,site_54.22_12.09,5-9-2003,Mya arenaria,245
1319,site_54.22_12.09,2-13-2004,Mya arenaria,110
1320,site_54.22_12.09,2-8-2005,Mya arenaria,395
1321,site_54.22_12.09,10-28-1993,Mysella bidentata,3
1322,site_54.22_12.09,10-28-1993,Mytilus edulis,376
1323,site_54.22_12.09,9-19-1994,Mytilus edulis,325
1324,site_54.22_12.09,10-28-1995,Mytilus edulis,19
1325,site_54.22_12.09,2-3-1998,Mytilus edulis,1173
1326,site_54.22_12.09,2-12-1999,Mytilus edulis,17
1327,site_54.22_12.09,2-18-2000,Mytilus edulis,3
1328,site_54.22_12.09,3-22-2001,Mytilus edulis,3
1329,site_54.22_12.09,2-5-2002,Mytilus edulis,1197
1330,site_54.22_12.09,5-9-2003,Mytilus edulis,442
1331,site_54.22_12.09,2-13-2004,Mytilus edulis,61
1332,site_54.22_12.09,2-8-2005,Mytilus edulis,31
1333,site_54.22_12.09,2-8-2005,Nassarius reticulatus,1
1334,site_54.22_12.09,10-28-1995,Neanthes succinea,2
1335,site_54.22_12.09,3-22-2001,Neanthes succinea,3
1336,site_54.22_12.09,2-5-2002,Neanthes succinea,7
1337,site_54.22_12.09,5-9-2003,Neanthes succinea,3
1338,site_54.22_12.09,2-18-2000,Neanthes virens,3
1339,site_54.22_12.09,3-22-2001,Nemertina,7
1340,site_54.22_12.09,5-9-2003,Neomysis integer,1
1341,site_54.22_12.09,2-8-2005,Neomysis integer,1
1342,site_54.22_12.09,2-5-2002,Nephtys caeca,3
1343,site_54.22_12.09,5-9-2003,Nephtys caeca,7
1344,site_54.22_12.09,2-13-2004,Nephtys caeca,8
1345,site_54.22_12.09,2-8-2005,Nephtys caeca,24
1346,site_54.22_12.09,2-5-2002,Nephtys hombergii,7
1347,site_54.22_12.09,5-9-2003,Nephtys hombergii,14
1348,site_54.22_12.09,2-13-2004,Nephtys hombergii,3
1349,site_54.22_12.09,2-5-2002,Odostomia rissoides,1
1350,site_54.22_12.09,5-9-2003,Odostomia rissoides,68
1351,site_54.22_12.09,2-8-2005,Odostomia rissoides,1
1352,site_54.22_12.09,10-28-1993,Oligochaeta,71
1353,site_54.22_12.09,9-19-1994,Oligochaeta,29
1354,site_54.22_12.09,10-28-1995,Oligochaeta,107
1355,site_54.22_12.09,6-21-1996,Oligochaeta,51
1356,site_54.22_12.09,2-3-1998,Oligochaeta,7
1357,site_54.22_12.09,5-9-2003,Oligochaeta,20
1358,site_54.22_12.09,2-8-2005,Oligochaeta,3
1359,site_54.22_12.09,2-5-2002,Opercularella lacerata,1
1360,site_54.22_12.09,3-22-2001,Paraonis fulgens,3
1361,site_54.22_12.09,2-5-2002,Paraonis fulgens,3
1362,site_54.22_12.09,9-19-1994,Phyllodoce (Anaitides) maculata,7
1363,site_54.22_12.09,2-18-2000,Phyllodoce (Anaitides) mucosa,3
1364,site_54.22_12.09,3-22-2001,Phyllodoce (Anaitides) mucosa,3
