,site,scientificnameaccepted,yearcollected,Count (Dmnless)
526,site_54.18_11.75,Nephtys hombergii,2003,112
527,site_54.18_11.75,Nephtys hombergii,2004,347
528,site_54.18_11.75,Nephtys hombergii,2005,153
529,site_54.18_11.75,Nephtys longosetosa,1999,14
530,site_54.18_11.75,Nereimyra punctata,1998,9
531,site_54.18_11.75,Nereimyra punctata,1999,4
532,site_54.18_11.75,Nereimyra punctata,2000,5
533,site_54.18_11.75,Nereimyra punctata,2001,28
534,site_54.18_11.75,Nereimyra punctata,2002,10
535,site_54.18_11.75,Nereimyra punctata,2003,21
536,site_54.18_11.75,Nereimyra punctata,2004,9
537,site_54.18_11.75,Nereimyra punctata,2005,1
538,site_54.18_11.75,Nymphon brevirostre,2001,3
539,site_54.18_11.75,Nymphon brevirostre,2004,1
540,site_54.18_11.75,Nymphon brevirostre,2005,1
541,site_54.18_11.75,Odostomia rissoides,2005,1
542,site_54.18_11.75,Opercularella lacerata,1999,1
543,site_54.18_11.75,Opercularella lacerata,2001,1
544,site_54.18_11.75,Opercularella lacerata,2002,1
545,site_54.18_11.75,Opercularella lacerata,2003,2
546,site_54.18_11.75,Opercularella pumila,2000,1
547,site_54.18_11.75,Ophiura albida,2000,6
548,site_54.18_11.75,Ophiura albida,2001,3
549,site_54.18_11.75,Ophiura albida,2002,1
550,site_54.18_11.75,Ophiura albida,2005,1
551,site_54.18_11.75,Parvicardium ovale,1999,7
552,site_54.18_11.75,Parvicardium ovale,2000,3
553,site_54.18_11.75,Parvicardium ovale,2002,1
554,site_54.18_11.75,Parvicardium ovale,2004,6
555,site_54.18_11.75,Phaxas pellucidus,1998,3
556,site_54.18_11.75,Phaxas pellucidus,1999,1
557,site_54.18_11.75,Phaxas pellucidus,2004,10
558,site_54.18_11.75,Phaxas pellucidus,2005,1
559,site_54.18_11.75,Pherusa plumosa,2000,1
560,site_54.18_11.75,Pherusa plumosa,2001,11
561,site_54.18_11.75,Pherusa plumosa,2002,20
562,site_54.18_11.75,Pherusa plumosa,2005,1
563,site_54.18_11.75,Pholoe,1997,6
564,site_54.18_11.75,Pholoe,1999,438
565,site_54.18_11.75,Pholoe,2000,19
566,site_54.18_11.75,Pholoe assimilis,1994,196
567,site_54.18_11.75,Pholoe assimilis,2000,377
568,site_54.18_11.75,Pholoe assimilis,2001,160
569,site_54.18_11.75,Pholoe assimilis,2002,41
570,site_54.18_11.75,Pholoe assimilis,2003,3
571,site_54.18_11.75,Pholoe assimilis,2004,163
572,site_54.18_11.75,Pholoe assimilis,2005,68
573,site_54.18_11.75,Pholoe baltica,1999,1
574,site_54.18_11.75,Pholoe baltica,2001,3
575,site_54.18_11.75,Pholoe baltica,2004,4
576,site_54.18_11.75,Pholoe baltica,2005,10
577,site_54.18_11.75,Pholoe inornata,2000,112
578,site_54.18_11.75,Pholoe inornata,2001,28
579,site_54.18_11.75,Pholoe inornata,2004,58
580,site_54.18_11.75,Phtisica marina,2005,1
581,site_54.18_11.75,Phyllodoce (Anaitides) maculata,1994,195
582,site_54.18_11.75,Phyllodoce (Anaitides) maculata,1999,3
583,site_54.18_11.75,Phyllodoce (Anaitides) maculata,2000,1
584,site_54.18_11.75,Phyllodoce (Anaitides) maculata,2001,4
585,site_54.18_11.75,Phyllodoce (Anaitides) maculata,2002,1
586,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,1996,9
587,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,1997,77
588,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,1998,47
589,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,1999,34
590,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,2000,10
591,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,2001,31
592,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,2002,37
593,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,2003,15
594,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,2004,28
595,site_54.18_11.75,Phyllodoce (Anaitides) mucosa,2005,1
596,site_54.18_11.75,Polydora (Polydora) quadrilobata,1994,13
597,site_54.18_11.75,Polydora (Polydora) quadrilobata,1995,16
598,site_54.18_11.75,Polydora (Polydora) quadrilobata,1996,3
599,site_54.18_11.75,Polydora (Polydora) quadrilobata,1997,28
600,site_54.18_11.75,Polydora (Polydora) quadrilobata,1998,159
601,site_54.18_11.75,Polydora (Polydora) quadrilobata,1999,508
602,site_54.18_11.75,Polydora (Polydora) quadrilobata,2000,1067
603,site_54.18_11.75,Polydora (Polydora) quadrilobata,2001,646
604,site_54.18_11.75,Polydora (Polydora) quadrilobata,2002,75
605,site_54.18_11.75,Polydora (Polydora) quadrilobata,2003,54
606,site_54.18_11.75,Polydora (Polydora) quadrilobata,2004,85
607,site_54.18_11.75,Polydora (Polydora) quadrilobata,2005,10
608,site_54.18_11.75,Polydora caeca,2003,10
609,site_54.18_11.75,Polydora caeca,2004,3
610,site_54.18_11.75,Polydora caulleryi,2001,10
611,site_54.18_11.75,Polydora ciliata,1994,13
612,site_54.18_11.75,Polydora ciliata,1995,1290
613,site_54.18_11.75,Polydora ciliata,1996,34
614,site_54.18_11.75,Polydora ciliata,1999,4
615,site_54.18_11.75,Polydora ciliata,2000,197
616,site_54.18_11.75,Polydora ciliata,2001,156
617,site_54.18_11.75,Polydora ciliata,2002,7
618,site_54.18_11.75,Polydora ciliata,2003,456
619,site_54.18_11.75,Polydora ciliata,2004,3
620,site_54.18_11.75,Pontoporeia femorata,1998,3
621,site_54.18_11.75,Pontoporeia femorata,1999,1
622,site_54.18_11.75,Pontoporeia femorata,2000,3
623,site_54.18_11.75,Praunus inermis,1996,6
624,site_54.18_11.75,Priapulus caudatus,1994,13
625,site_54.18_11.75,Priapulus caudatus,2000,7
626,site_54.18_11.75,Priapulus caudatus,2001,7
627,site_54.18_11.75,Priapulus caudatus,2002,3
628,site_54.18_11.75,Priapulus caudatus,2005,3
629,site_54.18_11.75,Pseudopolydora antennata,2005,3
630,site_54.18_11.75,Pseudopolydora pulchra,2001,10
631,site_54.18_11.75,Pseudopolydora pulchra,2004,10
632,site_54.18_11.75,Pusillina inconspicua,2004,1
633,site_54.18_11.75,Pusillina inconspicua,2005,1
634,site_54.18_11.75,Pygospio elegans,1995,13
635,site_54.18_11.75,Pygospio elegans,1996,74
636,site_54.18_11.75,Pygospio elegans,1997,40
637,site_54.18_11.75,Pygospio elegans,1998,31
638,site_54.18_11.75,Pygospio elegans,1999,28
639,site_54.18_11.75,Pygospio elegans,2000,105
640,site_54.18_11.75,Pygospio elegans,2001,17
641,site_54.18_11.75,Pygospio elegans,2003,119
642,site_54.18_11.75,Pygospio elegans,2004,3
643,site_54.18_11.75,Scalibregma inflatum,1998,3
644,site_54.18_11.75,Scalibregma inflatum,1999,23
645,site_54.18_11.75,Scalibregma inflatum,2000,27
646,site_54.18_11.75,Scalibregma inflatum,2001,41
647,site_54.18_11.75,Scalibregma inflatum,2002,3
648,site_54.18_11.75,Scalibregma inflatum,2003,3
649,site_54.18_11.75,Scalibregma inflatum,2004,170
650,site_54.18_11.75,Scoloplos armiger,1994,300
651,site_54.18_11.75,Scoloplos armiger,1996,30
652,site_54.18_11.75,Scoloplos armiger,1997,486
653,site_54.18_11.75,Scoloplos armiger,1998,491
654,site_54.18_11.75,Scoloplos armiger,1999,609
655,site_54.18_11.75,Scoloplos armiger,2000,10
656,site_54.18_11.75,Scoloplos armiger,2001,11
657,site_54.18_11.75,Scoloplos armiger,2002,10
658,site_54.18_11.75,Scoloplos armiger,2003,71
659,site_54.18_11.75,Scoloplos armiger,2004,456
660,site_54.18_11.75,Scoloplos armiger,2005,7
661,site_54.18_11.75,Spio filicornis,1996,9
662,site_54.18_11.75,Spio filicornis,2000,3
663,site_54.18_11.75,Spio filicornis,2002,1
664,site_54.18_11.75,Streptosyllis websteri,2003,1
665,site_54.18_11.75,Styela coriacea,1994,13
666,site_54.18_11.75,Styela coriacea,2002,37
667,site_54.18_11.75,Terebellides stroemii,1997,15
668,site_54.18_11.75,Terebellides stroemii,1998,117
669,site_54.18_11.75,Terebellides stroemii,1999,1144
670,site_54.18_11.75,Terebellides stroemii,2000,3090
671,site_54.18_11.75,Terebellides stroemii,2001,2098
672,site_54.18_11.75,Terebellides stroemii,2002,1160
673,site_54.18_11.75,Terebellides stroemii,2003,3
674,site_54.18_11.75,Terebellides stroemii,2004,23
675,site_54.18_11.75,Terebellides stroemii,2005,7
676,site_54.18_11.75,Trochochaeta multisetosa,1994,13
677,site_54.18_11.75,Trochochaeta multisetosa,1997,12
678,site_54.18_11.75,Trochochaeta multisetosa,1998,143
679,site_54.18_11.75,Trochochaeta multisetosa,1999,122
680,site_54.18_11.75,Trochochaeta multisetosa,2000,53
681,site_54.18_11.75,Trochochaeta multisetosa,2001,3
682,site_54.18_11.75,Trochochaeta multisetosa,2003,3
683,site_54.18_11.75,Trochochaeta multisetosa,2004,62
684,site_54.18_11.75,Trochochaeta multisetosa,2005,34
685,site_54.18_11.75,Tubifex costatus,1998,3
686,site_54.18_11.75,Tubifex costatus,1999,1
687,site_54.18_11.75,Tubificoides benedeni,1995,3
688,site_54.18_11.75,Tubificoides benedeni,1997,6
689,site_54.18_11.75,Tubificoides benedeni,1999,27
690,site_54.18_11.75,Tubificoides benedeni,2005,3
691,site_54.18_11.75,Tubularia,2001,1
692,site_54.18_11.75,Turbellaria,2002,3
693,site_54.18_11.75,Urticina felina,2003,7
694,site_54.18_11.75,Valkeria uva,2000,2
695,site_54.18_11.75,Valkeria uva,2001,1
696,site_54.18_11.75,Valkeria uva,2002,1
697,site_54.18_11.75,Valkeria uva,2005,1
698,site_54.22_12.09,Acanthodoris pilosa,2003,1
699,site_54.22_12.09,Alcyonidium polyoum,2003,1
700,site_54.22_12.09,Arenicola marina,1993,2
701,site_54.22_12.09,Arenicola marina,1994,34
702,site_54.22_12.09,Arenicola marina,1995,9
703,site_54.22_12.09,Arenicola marina,1998,3
704,site_54.22_12.09,Arenicola marina,2000,1
705,site_54.22_12.09,Arenicola marina,2001,3
706,site_54.22_12.09,Arenicola marina,2002,3
707,site_54.22_12.09,Arenicola marina,2003,10
708,site_54.22_12.09,Arenicola marina,2004,5
709,site_54.22_12.09,Arenicola marina,2005,7
710,site_54.22_12.09,Asterias rubens,2002,1
711,site_54.22_12.09,Asterias rubens,2003,1
712,site_54.22_12.09,Asterias rubens,2005,1
713,site_54.22_12.09,Balanus crenatus,2003,51
714,site_54.22_12.09,Balanus improvisus,1998,267
715,site_54.22_12.09,Balanus improvisus,2005,3
716,site_54.22_12.09,Bathyporeia pilosa,1993,3
717,site_54.22_12.09,Bathyporeia pilosa,1995,2
718,site_54.22_12.09,Bathyporeia pilosa,1996,10
719,site_54.22_12.09,Bathyporeia pilosa,1999,61
720,site_54.22_12.09,Bathyporeia pilosa,2001,7
721,site_54.22_12.09,Bathyporeia pilosa,2002,7
722,site_54.22_12.09,Bathyporeia pilosa,2005,20
723,site_54.22_12.09,Bylgides sarsi,1994,5
724,site_54.22_12.09,Bylgides sarsi,1995,2
725,site_54.22_12.09,Bylgides sarsi,1996,17
726,site_54.22_12.09,Bylgides sarsi,1998,3
727,site_54.22_12.09,Bylgides sarsi,2001,17
728,site_54.22_12.09,Bylgides sarsi,2002,7
729,site_54.22_12.09,Bylgides sarsi,2003,37
730,site_54.22_12.09,Bylgides sarsi,2004,3
731,site_54.22_12.09,Bylgides sarsi,2005,3
732,site_54.22_12.09,Callipallene brevirostris,2003,1
733,site_54.22_12.09,Callopora lineata,2002,1
734,site_54.22_12.09,Callopora lineata,2004,1
735,site_54.22_12.09,Callopora lineata,2005,1
736,site_54.22_12.09,Capitella capitata,1993,29
737,site_54.22_12.09,Capitella capitata,1994,17
738,site_54.22_12.09,Capitella capitata,1995,49
739,site_54.22_12.09,Capitella capitata,1996,36
740,site_54.22_12.09,Capitella capitata,1998,10
741,site_54.22_12.09,Capitella capitata,2000,7
742,site_54.22_12.09,Capitella capitata,2001,3
743,site_54.22_12.09,Capitella capitata,2002,14
744,site_54.22_12.09,Capitella capitata,2003,3
745,site_54.22_12.09,Capitella capitata,2004,5
746,site_54.22_12.09,Cerastoderma glaucum,1993,31
747,site_54.22_12.09,Cerastoderma glaucum,1994,139
748,site_54.22_12.09,Cerastoderma glaucum,1995,145
749,site_54.22_12.09,Cerastoderma glaucum,1996,44
750,site_54.22_12.09,Cerastoderma glaucum,1998,177
751,site_54.22_12.09,Cerastoderma glaucum,1999,68
752,site_54.22_12.09,Cerastoderma glaucum,2000,27
753,site_54.22_12.09,Cerastoderma glaucum,2001,95
754,site_54.22_12.09,Cerastoderma glaucum,2002,109
755,site_54.22_12.09,Cerastoderma glaucum,2003,34
756,site_54.22_12.09,Cerastoderma glaucum,2004,28
757,site_54.22_12.09,Cerastoderma glaucum,2005,565
758,site_54.22_12.09,Chironomidae,2002,1
759,site_54.22_12.09,Corophium insidiosum,2002,1
760,site_54.22_12.09,Coryne tubulosa,2005,1
761,site_54.22_12.09,Crangon crangon,1995,2
762,site_54.22_12.09,Crangon crangon,2000,1
763,site_54.22_12.09,Crangon crangon,2002,1
764,site_54.22_12.09,Crangon crangon,2003,1
765,site_54.22_12.09,Crangon crangon,2005,1
766,site_54.22_12.09,Cyathura carinata,2004,3
767,site_54.22_12.09,Dendrodoa grossularia,2003,1
768,site_54.22_12.09,Dexamine spinosa,2005,1
769,site_54.22_12.09,Diastylis rathkei,1994,3
770,site_54.22_12.09,Diastylis rathkei,1995,3
771,site_54.22_12.09,Diastylis rathkei,1996,7
772,site_54.22_12.09,Diastylis rathkei,2001,3
773,site_54.22_12.09,Diastylis rathkei,2003,3
774,site_54.22_12.09,Electra pilosa,2002,1
775,site_54.22_12.09,Eteone longa,1993,44
776,site_54.22_12.09,Eteone longa,1994,15
777,site_54.22_12.09,Eteone longa,1995,14
778,site_54.22_12.09,Eteone longa,1996,3
779,site_54.22_12.09,Eteone longa,1998,41
780,site_54.22_12.09,Eteone longa,1999,7
781,site_54.22_12.09,Eteone longa,2000,41
782,site_54.22_12.09,Eteone longa,2001,10
783,site_54.22_12.09,Eteone longa,2002,17
784,site_54.22_12.09,Eteone longa,2003,48
785,site_54.22_12.09,Eteone longa,2004,38
786,site_54.22_12.09,Eteone longa,2005,75
787,site_54.22_12.09,Eucratea loricata,2003,1
788,site_54.22_12.09,Eulalia bilineata,2001,3
789,site_54.22_12.09,Fabriciola baltica,2002,1
790,site_54.22_12.09,Farrella repens,2005,1
791,site_54.22_12.09,Flustra foliacea,2003,1
792,site_54.22_12.09,Gammarus oceanicus,2002,1
793,site_54.22_12.09,Gammarus oceanicus,2005,1
794,site_54.22_12.09,Gammarus salinus,1993,2
795,site_54.22_12.09,Gammarus salinus,1998,7
796,site_54.22_12.09,Gammarus salinus,2002,1
797,site_54.22_12.09,Gammarus salinus,2003,1
798,site_54.22_12.09,Gastrosaccus spinifer,1993,12
799,site_54.22_12.09,Gastrosaccus spinifer,1994,17
800,site_54.22_12.09,Gastrosaccus spinifer,1995,22
801,site_54.22_12.09,Gastrosaccus spinifer,1996,3
802,site_54.22_12.09,Gastrosaccus spinifer,2000,3
803,site_54.22_12.09,Gastrosaccus spinifer,2001,3
804,site_54.22_12.09,Gastrosaccus spinifer,2002,17
805,site_54.22_12.09,Gastrosaccus spinifer,2003,3
806,site_54.22_12.09,Gastrosaccus spinifer,2005,27
807,site_54.22_12.09,Halacaridae,2002,1
808,site_54.22_12.09,Harmothoe impar,2002,1
809,site_54.22_12.09,Hartlaubella gelatinosa,2005,1
810,site_54.22_12.09,Hediste diversicolor,1993,63
811,site_54.22_12.09,Hediste diversicolor,1994,49
812,site_54.22_12.09,Hediste diversicolor,1995,66
813,site_54.22_12.09,Hediste diversicolor,1996,14
814,site_54.22_12.09,Hediste diversicolor,1998,143
815,site_54.22_12.09,Hediste diversicolor,1999,37
816,site_54.22_12.09,Hediste diversicolor,2000,133
817,site_54.22_12.09,Hediste diversicolor,2001,41
818,site_54.22_12.09,Hediste diversicolor,2002,71
819,site_54.22_12.09,Hediste diversicolor,2003,20
820,site_54.22_12.09,Hediste diversicolor,2004,13
821,site_54.22_12.09,Hediste diversicolor,2005,14
822,site_54.22_12.09,Heteromastus filiformis,1994,2
823,site_54.22_12.09,Heteromastus filiformis,1995,7
824,site_54.22_12.09,Heteromastus filiformis,1996,3
825,site_54.22_12.09,Hydrobia ulvae,1993,5024
826,site_54.22_12.09,Hydrobia ulvae,1994,3442
827,site_54.22_12.09,Hydrobia ulvae,1995,1857
828,site_54.22_12.09,Hydrobia ulvae,1996,2279
829,site_54.22_12.09,Hydrobia ulvae,1998,4605
830,site_54.22_12.09,Hydrobia ulvae,1999,810
831,site_54.22_12.09,Hydrobia ulvae,2000,871
832,site_54.22_12.09,Hydrobia ulvae,2001,1003
833,site_54.22_12.09,Hydrobia ulvae,2002,2609
834,site_54.22_12.09,Hydrobia ulvae,2003,9735
835,site_54.22_12.09,Hydrobia ulvae,2004,3003
836,site_54.22_12.09,Hydrobia ulvae,2005,575
837,site_54.22_12.09,Idotea balthica,2002,1
838,site_54.22_12.09,Idotea chelipes,2005,3
839,site_54.22_12.09,Lacuna parva,2002,1
840,site_54.22_12.09,Lagis koreni,2005,3
841,site_54.22_12.09,Lamellidoris muricata,2003,3
842,site_54.22_12.09,Macoma balthica,1993,124
843,site_54.22_12.09,Macoma balthica,1994,111
844,site_54.22_12.09,Macoma balthica,1995,139
845,site_54.22_12.09,Macoma balthica,1996,303
846,site_54.22_12.09,Macoma balthica,1998,119
847,site_54.22_12.09,Macoma balthica,1999,17
848,site_54.22_12.09,Macoma balthica,2000,31
849,site_54.22_12.09,Macoma balthica,2001,20
850,site_54.22_12.09,Macoma balthica,2002,58
851,site_54.22_12.09,Macoma balthica,2003,61
852,site_54.22_12.09,Macoma balthica,2004,46
853,site_54.22_12.09,Macoma balthica,2005,51
854,site_54.22_12.09,Malacoceros,2000,3
855,site_54.22_12.09,Marenzelleria neglecta,1993,2
856,site_54.22_12.09,Marenzelleria neglecta,1994,3
857,site_54.22_12.09,Marenzelleria neglecta,1995,5
858,site_54.22_12.09,Marenzelleria neglecta,1996,7
859,site_54.22_12.09,Marenzelleria neglecta,2000,3
860,site_54.22_12.09,Marenzelleria neglecta,2004,18
861,site_54.22_12.09,Marenzelleria neglecta,2005,361
862,site_54.22_12.09,Melita palmata,2002,1
863,site_54.22_12.09,Melita palmata,2003,1
864,site_54.22_12.09,Microdeutopus gryllotalpa,2002,1
865,site_54.22_12.09,Microdeutopus gryllotalpa,2003,1
866,site_54.22_12.09,Microdeutopus gryllotalpa,2005,1
867,site_54.22_12.09,Musculus discors,2003,1
868,site_54.22_12.09,Mya arenaria,1993,379
869,site_54.22_12.09,Mya arenaria,1994,675
870,site_54.22_12.09,Mya arenaria,1995,474
871,site_54.22_12.09,Mya arenaria,1996,167
872,site_54.22_12.09,Mya arenaria,1998,337
873,site_54.22_12.09,Mya arenaria,1999,776
874,site_54.22_12.09,Mya arenaria,2000,153
875,site_54.22_12.09,Mya arenaria,2001,786
876,site_54.22_12.09,Mya arenaria,2002,779
877,site_54.22_12.09,Mya arenaria,2003,245
878,site_54.22_12.09,Mya arenaria,2004,110
879,site_54.22_12.09,Mya arenaria,2005,395
880,site_54.22_12.09,Mysella bidentata,1993,3
881,site_54.22_12.09,Mytilus edulis,1993,376
882,site_54.22_12.09,Mytilus edulis,1994,325
883,site_54.22_12.09,Mytilus edulis,1995,19
884,site_54.22_12.09,Mytilus edulis,1998,1173
885,site_54.22_12.09,Mytilus edulis,1999,17
886,site_54.22_12.09,Mytilus edulis,2000,3
887,site_54.22_12.09,Mytilus edulis,2001,3
888,site_54.22_12.09,Mytilus edulis,2002,1197
889,site_54.22_12.09,Mytilus edulis,2003,442
890,site_54.22_12.09,Mytilus edulis,2004,61
891,site_54.22_12.09,Mytilus edulis,2005,31
892,site_54.22_12.09,Nassarius reticulatus,2005,1
893,site_54.22_12.09,Neanthes succinea,1995,2
894,site_54.22_12.09,Neanthes succinea,2001,3
895,site_54.22_12.09,Neanthes succinea,2002,7
896,site_54.22_12.09,Neanthes succinea,2003,3
897,site_54.22_12.09,Neanthes virens,2000,3
898,site_54.22_12.09,Nemertina,2001,7
899,site_54.22_12.09,Neomysis integer,2003,1
900,site_54.22_12.09,Neomysis integer,2005,1
901,site_54.22_12.09,Nephtys caeca,2002,3
902,site_54.22_12.09,Nephtys caeca,2003,7
903,site_54.22_12.09,Nephtys caeca,2004,8
904,site_54.22_12.09,Nephtys caeca,2005,24
905,site_54.22_12.09,Nephtys hombergii,2002,7
906,site_54.22_12.09,Nephtys hombergii,2003,14
907,site_54.22_12.09,Nephtys hombergii,2004,3
908,site_54.22_12.09,Odostomia rissoides,2002,1
909,site_54.22_12.09,Odostomia rissoides,2003,68
910,site_54.22_12.09,Odostomia rissoides,2005,1
911,site_54.22_12.09,Oligochaeta,1993,71
912,site_54.22_12.09,Oligochaeta,1994,29
913,site_54.22_12.09,Oligochaeta,1995,107
914,site_54.22_12.09,Oligochaeta,1996,51
915,site_54.22_12.09,Oligochaeta,1998,7
916,site_54.22_12.09,Oligochaeta,2003,20
917,site_54.22_12.09,Oligochaeta,2005,3
918,site_54.22_12.09,Opercularella lacerata,2002,1
919,site_54.22_12.09,Paraonis fulgens,2001,3
920,site_54.22_12.09,Paraonis fulgens,2002,3
921,site_54.22_12.09,Phyllodoce (Anaitides) maculata,1994,7
922,site_54.22_12.09,Phyllodoce (Anaitides) mucosa,2000,3
923,site_54.22_12.09,Phyllodoce (Anaitides) mucosa,2001,3
924,site_54.22_12.09,Phyllodoce (Anaitides) mucosa,2003,7
925,site_54.22_12.09,Phyllodoce (Anaitides) mucosa,2005,3
926,site_54.22_12.09,Polydora,1994,17
927,site_54.22_12.09,Polydora (Polydora) quadrilobata,2003,1
928,site_54.22_12.09,Polydora ciliata,1998,15
929,site_54.22_12.09,Polydora ciliata,2002,1
930,site_54.22_12.09,Polydora ciliata,2003,10
931,site_54.22_12.09,Praunus flexuosus,2005,1
932,site_54.22_12.09,Praunus inermis,2005,1
933,site_54.22_12.09,Prostoma obscura,2000,3
934,site_54.22_12.09,Prostoma obscura,2004,3
935,site_54.22_12.09,Pusillina inconspicua,2004,3
936,site_54.22_12.09,Pygospio elegans,1993,2070
937,site_54.22_12.09,Pygospio elegans,1994,395
938,site_54.22_12.09,Pygospio elegans,1995,82
939,site_54.22_12.09,Pygospio elegans,1996,316
940,site_54.22_12.09,Pygospio elegans,1998,1265
941,site_54.22_12.09,Pygospio elegans,1999,3
942,site_54.22_12.09,Pygospio elegans,2000,41
943,site_54.22_12.09,Pygospio elegans,2001,37
944,site_54.22_12.09,Pygospio elegans,2002,167
945,site_54.22_12.09,Pygospio elegans,2003,1878
946,site_54.22_12.09,Pygospio elegans,2004,8
947,site_54.22_12.09,Scoloplos armiger,1993,131
948,site_54.22_12.09,Scoloplos armiger,1994,269
949,site_54.22_12.09,Scoloplos armiger,1995,689
950,site_54.22_12.09,Scoloplos armiger,1996,480
951,site_54.22_12.09,Scoloplos armiger,1998,452
952,site_54.22_12.09,Scoloplos armiger,1999,221
953,site_54.22_12.09,Scoloplos armiger,2000,412
954,site_54.22_12.09,Scoloplos armiger,2001,112
955,site_54.22_12.09,Scoloplos armiger,2002,990
956,site_54.22_12.09,Scoloplos armiger,2003,939
957,site_54.22_12.09,Scoloplos armiger,2004,763
958,site_54.22_12.09,Scoloplos armiger,2005,316
959,site_54.22_12.09,Sertularia cupressina,2003,1
960,site_54.22_12.09,Spio goniocephala,1998,14
961,site_54.22_12.09,Spio goniocephala,1999,139
962,site_54.22_12.09,Spio goniocephala,2000,34
963,site_54.22_12.09,Spio goniocephala,2001,85
964,site_54.22_12.09,Spio goniocephala,2002,146
965,site_54.22_12.09,Spio goniocephala,2003,51
966,site_54.22_12.09,Spio goniocephala,2004,23
967,site_54.22_12.09,Spio martinensis,2000,3
968,site_54.22_12.09,Streblospio dekhuyzeni,1993,2
969,site_54.22_12.09,Streblospio dekhuyzeni,1995,2
970,site_54.22_12.09,Streblospio dekhuyzeni,2000,10
971,site_54.22_12.09,Streblospio dekhuyzeni,2002,71
972,site_54.22_12.09,Streblospio dekhuyzeni,2003,20
973,site_54.22_12.09,Streblospio dekhuyzeni,2004,38
974,site_54.22_12.09,Travisia forbesii,1993,2
975,site_54.22_12.09,Travisia forbesii,1994,7
976,site_54.22_12.09,Travisia forbesii,1996,3
977,site_54.22_12.09,Travisia forbesii,1999,99
978,site_54.22_12.09,Travisia forbesii,2001,153
979,site_54.22_12.09,Travisia forbesii,2002,34
980,site_54.22_12.09,Travisia forbesii,2005,58
981,site_54.22_12.09,Tubifex costatus,2000,51
982,site_54.22_12.09,Tubifex costatus,2002,7
983,site_54.22_12.09,Tubifex costatus,2004,8
984,site_54.22_12.09,Tubificoides benedeni,2003,14
985,site_54.32_11.55,Abra alba,1984,22
986,site_54.32_11.55,Abra alba,1988,67
987,site_54.32_11.55,Abra alba,1991,158
988,site_54.32_11.55,Abra alba,1994,384
989,site_54.32_11.55,Abra alba,1997,279
990,site_54.32_11.55,Abra alba,1998,707
991,site_54.32_11.55,Abra alba,1999,107
992,site_54.32_11.55,Abra alba,2000,2638
993,site_54.32_11.55,Abra alba,2001,1016
994,site_54.32_11.55,Abra alba,2003,135
995,site_54.32_11.55,Abra alba,2004,170
996,site_54.32_11.55,Actinia equina,2002,3
997,site_54.32_11.55,Ampharete acutifrons,1994,22
998,site_54.32_11.55,Ampharete acutifrons,1997,13
999,site_54.32_11.55,Ampharete acutifrons,1998,3
1000,site_54.32_11.55,Ampharete acutifrons,2000,3
1001,site_54.32_11.55,Ampharete baltica,1988,12
1002,site_54.32_11.55,Ampharete baltica,1993,6
1003,site_54.32_11.55,Ampharete baltica,1997,2
1004,site_54.32_11.55,Ampharete baltica,2001,13
1005,site_54.32_11.55,Ampharete baltica,2004,3
1006,site_54.32_11.55,Arctica islandica,1983,6
1007,site_54.32_11.55,Arctica islandica,1984,27
1008,site_54.32_11.55,Arctica islandica,1986,41
1009,site_54.32_11.55,Arctica islandica,1988,50
1010,site_54.32_11.55,Arctica islandica,1989,97
1011,site_54.32_11.55,Arctica islandica,1990,29
1012,site_54.32_11.55,Arctica islandica,1991,18
1013,site_54.32_11.55,Arctica islandica,1992,43
1014,site_54.32_11.55,Arctica islandica,1993,57
1015,site_54.32_11.55,Arctica islandica,1994,85
1016,site_54.32_11.55,Arctica islandica,1995,60
1017,site_54.32_11.55,Arctica islandica,1997,74
1018,site_54.32_11.55,Arctica islandica,1998,82
1019,site_54.32_11.55,Arctica islandica,1999,119
1020,site_54.32_11.55,Arctica islandica,2000,178
1021,site_54.32_11.55,Arctica islandica,2001,119
1022,site_54.32_11.55,Arctica islandica,2002,63
1023,site_54.32_11.55,Arctica islandica,2003,28
1024,site_54.32_11.55,Arctica islandica,2004,44
1025,site_54.32_11.55,Asterias rubens,1999,1
1026,site_54.32_11.55,Asterias rubens,2001,1
1027,site_54.32_11.55,Balanus crenatus,2003,1
1028,site_54.32_11.55,Balanus crenatus,2004,3
1029,site_54.32_11.55,Bylgides sarsi,1983,15
1030,site_54.32_11.55,Bylgides sarsi,1984,9
1031,site_54.32_11.55,Bylgides sarsi,1988,32
1032,site_54.32_11.55,Bylgides sarsi,1989,3
1033,site_54.32_11.55,Bylgides sarsi,1990,3
1034,site_54.32_11.55,Bylgides sarsi,1991,9
1035,site_54.32_11.55,Bylgides sarsi,1994,19
1036,site_54.32_11.55,Bylgides sarsi,1995,3
1037,site_54.32_11.55,Bylgides sarsi,1997,17
1038,site_54.32_11.55,Bylgides sarsi,1998,34
1039,site_54.32_11.55,Bylgides sarsi,1999,16
